time,type,count
2016-02-02,IssueCommentEvent,85167
2016-02-02,PublicEvent,816
2016-02-02,WatchEvent,78657
2016-02-02,PushEvent,459764
2016-02-02,PullRequestEvent,52939
2016-02-02,CommitCommentEvent,5008
2016-02-02,MemberEvent,6530
2016-02-02,ReleaseEvent,3122
2016-02-02,PullRequestReviewCommentEvent,21485
2016-02-03,MemberEvent,6683
2016-02-03,CommitCommentEvent,5142
2016-02-03,IssueCommentEvent,83857
2016-02-03,ReleaseEvent,3045
2016-02-03,DeleteEvent,19774
2016-02-03,PushEvent,479862
2016-02-03,PullRequestEvent,53008
2016-02-03,PullRequestReviewCommentEvent,17604
2016-02-03,GollumEvent,8038
2016-02-03,WatchEvent,75178
2016-02-03,PublicEvent,920
2016-02-03,CreateEvent,122022
2016-02-03,IssuesEvent,43441
2016-02-03,ForkEvent,27716
2016-02-04,MemberEvent,5678
2016-02-04,PullRequestReviewCommentEvent,16321
2016-02-04,GollumEvent,7278
2016-02-04,CommitCommentEvent,5279
2016-02-04,PushEvent,479693
2016-02-04,PullRequestEvent,53591
2016-02-04,CreateEvent,115331
2016-02-04,PublicEvent,774
2016-02-04,IssueCommentEvent,83805
2016-02-04,ReleaseEvent,2894
2016-02-04,ForkEvent,26006
2016-02-04,WatchEvent,69532
2016-02-04,IssuesEvent,42517
2016-02-04,DeleteEvent,21074
2016-02-05,WatchEvent,62093
2016-02-05,IssueCommentEvent,76245
2016-02-05,PushEvent,441466
2016-02-05,CreateEvent,107301
2016-02-05,ReleaseEvent,2907
2016-02-05,PublicEvent,776
2016-02-05,ForkEvent,22542
2016-02-05,CommitCommentEvent,4861
2016-02-05,GollumEvent,6177
2016-02-05,PullRequestEvent,48310
2016-02-05,PullRequestReviewCommentEvent,15375
2016-02-05,DeleteEvent,20431
2016-02-05,MemberEvent,5287
2016-02-05,IssuesEvent,36281
2016-02-06,IssuesEvent,23103
2016-02-06,PublicEvent,504
2016-02-06,IssueCommentEvent,40363
2016-02-06,PushEvent,311923
2016-02-06,MemberEvent,3798
2016-02-06,ReleaseEvent,2169
2016-02-06,PullRequestReviewCommentEvent,5861
2016-02-06,PullRequestEvent,27250
2016-02-06,GollumEvent,4359
2016-02-06,WatchEvent,43812
2016-02-06,CreateEvent,73145
2016-02-06,DeleteEvent,11369
2016-02-06,ForkEvent,14789
2016-02-06,CommitCommentEvent,2784
2016-02-07,GollumEvent,4154
2016-02-07,IssuesEvent,23147
2016-02-07,MemberEvent,2472
2016-02-07,PushEvent,326925
2016-02-07,IssueCommentEvent,37743
2016-02-07,ReleaseEvent,1902
2016-02-07,CommitCommentEvent,2535
2016-02-07,PublicEvent,488
2016-02-07,DeleteEvent,10878
2016-02-07,PullRequestEvent,26973
2016-02-07,PullRequestReviewCommentEvent,5728
2016-02-07,ForkEvent,14000
2016-02-07,WatchEvent,44924
2016-02-07,CreateEvent,73704
2016-02-08,DeleteEvent,21114
2016-02-08,PullRequestEvent,46871
2016-02-08,GollumEvent,6491
2016-02-08,MemberEvent,4972
2016-02-08,PushEvent,412038
2016-02-08,IssuesEvent,36142
2016-02-08,PullRequestReviewCommentEvent,13994
2016-02-08,PublicEvent,770
2016-02-08,ReleaseEvent,2805
2016-02-08,CommitCommentEvent,4371
2016-02-08,ForkEvent,19809
2016-02-08,CreateEvent,103997
2016-02-08,IssueCommentEvent,71351
2016-02-08,WatchEvent,57737
2016-02-09,MemberEvent,5721
2016-02-09,DeleteEvent,28384
2016-02-09,ForkEvent,22146
2016-02-09,PublicEvent,818
2016-02-09,PullRequestEvent,51272
2016-02-09,ReleaseEvent,2773
2016-02-09,CommitCommentEvent,5410
2016-02-09,IssueCommentEvent,87232
2016-02-09,PushEvent,440400
2016-02-09,WatchEvent,57895
2016-02-09,IssuesEvent,40325
2016-02-09,GollumEvent,7404
2016-02-09,PullRequestReviewCommentEvent,16855
2016-02-09,CreateEvent,128399
2016-02-10,PullRequestReviewCommentEvent,16925
2016-02-10,WatchEvent,62185
2016-02-10,GollumEvent,7548
2016-02-10,CreateEvent,116780
2016-02-10,MemberEvent,6004
2016-02-10,ForkEvent,22745
2016-02-10,PullRequestEvent,52838
2016-02-10,PublicEvent,743
2016-02-10,CommitCommentEvent,5363
2016-02-10,PushEvent,446204
2016-02-10,DeleteEvent,20281
2016-02-10,ReleaseEvent,2827
2016-02-10,IssueCommentEvent,85565
2016-02-10,IssuesEvent,38953
2016-02-11,WatchEvent,59828
2016-02-11,GollumEvent,7823
2016-02-11,ReleaseEvent,2926
2016-02-11,IssuesEvent,37666
2016-02-11,PullRequestReviewCommentEvent,15640
2016-02-11,ForkEvent,22985
2016-02-11,PushEvent,441436
2016-02-11,MemberEvent,6439
2016-02-11,DeleteEvent,22051
2016-02-11,PublicEvent,761
2016-02-11,CommitCommentEvent,5581
2016-02-11,IssueCommentEvent,83849
2016-02-11,PullRequestEvent,52054
2016-02-11,CreateEvent,122476
2016-02-12,IssueCommentEvent,78976
2016-02-12,PullRequestEvent,52911
2016-02-12,CommitCommentEvent,5544
2016-02-12,ForkEvent,22401
2016-02-12,CreateEvent,110213
2016-02-12,PushEvent,416470
2016-02-12,MemberEvent,5391
2016-02-12,DeleteEvent,23831
2016-02-12,PullRequestReviewCommentEvent,14939
2016-02-12,WatchEvent,58305
2016-02-12,ReleaseEvent,3034
2016-02-12,IssuesEvent,36235
2016-02-12,GollumEvent,7180
2016-02-12,PublicEvent,778
2016-02-13,DeleteEvent,13231
2016-02-13,GollumEvent,4686
2016-02-13,ReleaseEvent,2480
2016-02-13,IssueCommentEvent,41257
2016-02-13,MemberEvent,3476
2016-02-13,PullRequestReviewCommentEvent,6087
2016-02-13,PushEvent,309915
2016-02-13,ForkEvent,15974
2016-02-13,WatchEvent,42649
2016-02-13,CommitCommentEvent,2607
2016-02-13,CreateEvent,77894
2016-02-13,PublicEvent,438
2016-02-13,IssuesEvent,21713
2016-02-13,PullRequestEvent,29351
2016-02-14,WatchEvent,46530
2016-02-14,CommitCommentEvent,2677
2016-02-14,IssuesEvent,21470
2016-02-14,DeleteEvent,13480
2016-02-14,ForkEvent,16277
2016-02-14,ReleaseEvent,2110
2016-02-14,MemberEvent,2464
2016-02-14,PullRequestEvent,27650
2016-02-14,PullRequestReviewCommentEvent,5510
2016-02-14,PublicEvent,486
2016-02-14,CreateEvent,87376
2016-02-14,GollumEvent,4944
2016-02-14,PushEvent,324746
2016-02-14,IssueCommentEvent,39665
2016-02-15,PullRequestEvent,47340
2016-02-15,ReleaseEvent,2818
2016-02-15,PublicEvent,722
2016-02-15,CommitCommentEvent,4691
2016-02-15,IssueCommentEvent,74297
2016-02-15,CreateEvent,120515
2016-02-15,ForkEvent,25094
2016-02-15,MemberEvent,5773
2016-02-15,GollumEvent,7135
2016-02-15,DeleteEvent,18925
2016-02-15,PullRequestReviewCommentEvent,13298
2016-02-15,PushEvent,443320
2016-02-15,WatchEvent,76254
2016-02-15,IssuesEvent,36506
2016-02-16,PushEvent,478574
2016-02-16,IssuesEvent,39758
2016-02-16,PullRequestReviewCommentEvent,17051
2016-02-16,CreateEvent,131861
2016-02-16,MemberEvent,6849
2016-02-16,CommitCommentEvent,6225
2016-02-16,GollumEvent,7953
